Quote,Tag,Confidence,Tag Group,Participant
"I recently moved back from Georgia so I was living in Georgia for like 7 years. So I recently moved back, but I've been in Texas like most of my whole life except for the time I've lived in Georgia.",other,0.9,Caregiver,P6 Jorie M
My husband and my son.,who i give care to,0.9,Caregiver,P6 Jorie M
He's about 5.,kids,0.9,Caregiver,P6 Jorie M
"So either like daycare at sometimes and then also like just taking care of like from home whenever like I'm not working. So that's pretty much how it is, and also school.",childcare,0.9,Caregiver,P6 Jorie M
Daycare is Monday through Wednesday not like every day. It would even be like the times the days that I work also so it's after school cuz kindergarten they end at like 12. So also daycare also till like I'm done with work and then picking him up and then coming back and into the days that like I'm off I am taking care of him.,childcare,0.95,Caregiver,P6 Jorie M
My husband works full time.,what i am responsible for,0.8,Caregiver,P6 Jorie M
"So when I get a chance, I either like to try and cook, but if I don't have a chance, I tend to get deliveries.",cooking,0.9,Caregiver,P6 Jorie M
"And also I schedule my deliveries so that I'm able to get it like when I'm home and it just gets shipped off. Like if I have free time, I either get it delivered to and pick it up. But most of the time I'm getting it delivered home and I like to have like it fresh. So if it's like something that we can finish just that day, it's perfect. So I can always like keep ordering and getting different meals.",food delivery,0.95,Caregiver,P6 Jorie M
"Much, yeah, pretty much for the most part, 'cause I like it fresh and everything.",grocery,0.7000000000000001,Caregiver,P6 Jorie M
"Sometimes cooking is twice a week or even less depending on like how much time I get. I tend to want to like cook like on the weekends, but if I don't have time to like cook that weekend I just tend to just get stuff delivered for the most part.",when we cook,0.9,Caregiver,P6 Jorie M
"I tend to want to like cook like on the weekends, but if I don't have time to like cook that weekend I just tend to just get stuff delivered for the most part.",weekend vs weeknight,0.8,No Tag Group,P6 Jorie M
if I don't have time to like cook that weekend I just tend to just get stuff delivered for the most part.,food delivery,0.9,Caregiver,P6 Jorie M
"Silver breakfast tend to like have that like cereal, oatmeal, so that one is just easier to make and then also like either protein bars or protein drinks. So that's filling and also something that's healthy too, in that sense.",breakfast,0.95,Caregiver,P6 Jorie M
Lunch tends to be like delivery or just pasta or rice depending on like what was cooked that week and if it's finished or if you want to eat out.,lunch,0.9,Caregiver,P6 Jorie M
We just do like delivery for the most part and trying different meals and different things each week.,food delivery,0.95,Caregiver,P6 Jorie M
"Dinner tends to be also very much the same or even going out to eat and just like on the weekends, going out to eat on the weekends, but it tends to be the same as like lunch (ordering or pasta at home). So if it's like cooked at home, it's more so like leftovers. And if it's like ordered, it's also leftovers too. At last, it's like family meals and meals for that, too.",dinner,0.9,Caregiver,P6 Jorie M
"going out to eat and just like on the weekends, going out to eat on the weekends",weekend vs weeknight,0.8,No Tag Group,P6 Jorie M
"So it depends on like our preference, what we like, and also it depends on like the time that we have to like prepare meals or either like what meals we want to get that's different from like what we typically have at home. So you'd be like pizza, pasta, rice, different places, also different stores that have different things. So we just tend to try and try different meals. For the most part, if we like a certain meal, we'll probably stick to that, but just always being open to different meals and things. That's around where we live.",decisions on ordering,0.9,No Tag Group,P6 Jorie M
So we do it once a week. It's typically on the weekends when we get like our free time and also like the rest days. Typically do it once a week.,when we shop,0.9,Caregiver,P6 Jorie M
"Either get like a salad, salads, hummus, bread, also like frozen foods so that we're able to like make different things like meats patties for like sandwiches and also like sweet stuff too and also like yogurts and just making sure we're stock in the fridge for that week it.",grocery,0.95,Caregiver,P6 Jorie M
"So it's both mostly in the store for the most part. So we're seeing everything. Also like trying Costco too, because we get to try the samples on the weekends. So that's pretty fun. But then also just mostly going to different places or if we don't find it at a place that we want and it's tends to be very hot, we just go ahead and just get it delivered, like using deliveries online, just just get it delivered to us.","how we shop (online, in store)",0.95,Caregiver,P6 Jorie M
"Yeah, if it's too hot to like, step out and just stay home.",why family orders,0.8,Caregiver,P6 Jorie M
"My go two ways, yeah. So I tend to like look up the store and see like what exactly they have and using like deliveries like Instacart, Grubhub, Uber Eats and then seeing like what they have and then what they have also to like offer for us. And if the store is on there, how much total is and everything? The shipping or the delivery and stuff?","how we shop (online, in store)",0.95,Caregiver,P6 Jorie M
"In general, things are pretty expensive. And it also depends on like where it's at, where you're buying things and seeing if it's something that's like within our range, budget range and everything for that week.",grocery,0.9,Caregiver,P6 Jorie M
"So I tend to like get all the stuff. Like if I didn't find it at like the store that I went to, I just tend to like purchase it online if it's any snacks I didn't find anywhere else, also like seasonal snacks. It'll also be like certain stores and also like where I like my produce and stuff like that. So it all depends on like what I'm looking for and what I want for like the whole family.",how we shop,0.95,Caregiver,P6 Jorie M
"So I try and budget under 200 per week if anything because I know everything is becoming like more expensive and we tend to spend over like 200. We'll just go to like another store or something where we can pick up like small things and or even just order it online. But for the most part, if I'm not able to like get it and we don't need it at that moment, it's time, I just don't pick it up or buy it at that time.",grocery,0.9,Caregiver,P6 Jorie M
We'll just go to like another store or something where we can pick up like small things and or even just order it online.,"how we shop (online, in store)",0.8,Caregiver,P6 Jorie M
"Is we all go, we all go. So it's more so like just getting fresh air and going out and checking out different things too and see what we want to eat for dinner that week or what's next.",creating the list,0.8,Caregiver,P6 Jorie M
"We need also a person's snacks for school too, and meals for school.",lunch,0.9,Caregiver,P6 Jorie M
"So I'm preparing meals for him for the most part and snacks also meals that will last for school and for daycare. Like the daycare will have like its own pack where we keep that for like the days that he's there for. And then for school, that's one that's packed every day for them.",lunch,0.9,Caregiver,P6 Jorie M
That like snacks that we've taken over their snacks daycare usually provides like meals and we just check over like the meals that they have and everything.,food provided by childcarers,0.9,No Tag Group,P6 Jorie M
"Free flowing  (no list) for the most part 'cause like we check out Costco HEB after like we don't get what we need to get. So for pretty much for like Costco, we go and try the samples. We like the sample. We might pick up that package or something. But we tend to always stick to like the same type of foods that we're always getting because we like it at at first.",grocery,0.9,Caregiver,P6 Jorie M
"And it's usually like shared meals or shared snacks or you know, all the snacks that just pick up out of the fridge and just eat, not like full on meals or anything, but it's stuff that you can also purchase that you can buy along and also make meals with.",what we cook,0.8,Caregiver,P6 Jorie M
Like we'll probably get it later if we're not able to get it at that time and just be like probably just get it later for you.,when family orders/ how often,0.8,Caregiver,P6 Jorie M
"Yeah, one to two times a week for the most part.",when family orders/ how often,0.9,Caregiver,P6 Jorie M
"Sometimes it depends on like what he's in the mood for. If it's something that's outside of what we have, he tends to like cook for himself, but it's also rarely.",who cooks,0.9,Caregiver,P6 Jorie M
It depends on pretty spontaneous with it. So it depends on like if we're busy or we're in the mood for some trying to something different that don't like don't want to cook. So it all like depends on like the mood and everything and it's pretty spontaneous.,decisions on ordering,0.9,Caregiver,P6 Jorie M
Family. It's for the most part it's family or it's either like my son wants something different or just order something different from the house.,why family orders,0.9,Caregiver,P6 Jorie M
"He tends to like chicken Nuggets and French fries. So if we don't currently have that, we just tend to like order it too instead of like driving up and getting it or something.",what do they order,0.95,Caregiver,P6 Jorie M
"Me, for the most part, I'm, I make the decisions when it comes to like the different foods and stuff. And then they just chime in and say like what they want off of like that Betty or anything.",decisions on ordering,0.9,Caregiver,P6 Jorie M
"Different people want different things at times, sometimes for most apart, like we're agreeing on the same place and everything.",decisions on ordering,0.8,No Tag Group,P6 Jorie M
"Get different meals for the most part, and then at times we're just like, yeah, let's just stick to one place and purchase from like one place for the most part.",decisions on ordering,0.9,No Tag Group,P6 Jorie M
"How do we decide? It depends on then and there. For the most part. It's typically like what we're in the mood for. If we're in the mood for like two different things, let's say like I want Pisa one day and they want pasta, we're going to go ahead and get both of them. If you from different restaurants, we're going ahead and getting them.",decisions on ordering,0.9,Caregiver,P6 Jorie M
"For me, for the most part, is delivery. Simply because it's fast, it's convenient. If I'm tired or anything and I don't feel like cooking, I'll just go ahead and do like the deliveries and it just comes straight on from like after getting like after ordering it. I like convenience and how effective it is and also processing everything when it comes to that.",food delivery,0.95,Caregiver,P6 Jorie M
"If I'm tired or anything and I don't feel like cooking, I'll just go ahead and do like the deliveries",why family orders,0.9,Caregiver,P6 Jorie M
"You like the mess when I'm like cooking like the mess that it takes. And also it does take a long time to like cook all the meals and then cook different things and also cleaning up after everything, making sure everything is right and just everything is like the time. I would say it's time.",cooking,0.9,Caregiver,P6 Jorie M
So I guess like creating like a better time management when it comes to stuff like that. So everything mainly like it all boils down to like the time.,managing - current,0.8,Caregiver,P6 Jorie M
"Yeah, the cooking and everything is not bad 'cause I love cooking, but it's just that I have to find a time in order to like, cook, make all the meals, making sure that everything is good for everybody, you know?",cooking,0.9,Caregiver,P6 Jorie M
