Quote,Tag,Confidence,Tag Group,Participant
"So I work as like a chief customer officer. So what I do in terms of is just to make sure everything is organised in where I work and just kind of, I'm just kind of a link towards the customers and my company. I'm just like everything I try to do is to make sure they're all comfortable.",what i am responsible for,0.9,No Tag Group,P5 Joana J
I have 4 kids and one step kid.,kids,1.0,Family makeup,P5 Joana J
"Yeah, they all live in the home with me, so they are still really young, but my stepdaughter is about 14 years of age. The rest are within like three to 10. Yeah.",kids,1.0,Family makeup,P5 Joana J
"OK, three 5, I think 7 and then 10.",kids,0.9,Family makeup,P5 Joana J
But most of the times traditionally I grew up in a way that traditionally women take care of the kids and everything. So I traditionally take care of them more. It's just he would always just be there to back up in the ways he can. So I would say it's more or less like I'm a 5050.,childcare,0.9,No Tag Group,P5 Joana J
"OK, so my husband, he's into like tech and stuff, so he works a lot from home.",who cooks,0.7000000000000001,Cooking,P5 Joana J
"OK, if they are not in school at that point, maybe during a holiday, they'll I'll probably have a lineup of activities that they're meant to do. Either go out, go to their aunties or stay home with their dad, or play dates with friends, or go to the park, go watch a movie, just those sorts of activities. I usually already have them planned. Sometimes you read a book or watch a movie at home, do external lessons, just different things. It all depends on what their interests are generally because I'll always still try to improve their knowledge and skill.",school vs not in school,0.9,Food for family,P5 Joana J
"Also during those periods where they're home most of the time, but during like school days when they get back home, usually they just do their homework, eat, maybe take a snack, watch a little TV, then go to bed.",school vs not in school,0.9,Food for family,P5 Joana J
"OK, they actually use a school bus but when we when we weren't in New York at the time we usually I usually drop them off since I leave the house early. I usually drop them off unless I'm not in the states or country at that moment, but my husband picks them up most times.",childcare,0.9,No Tag Group,P5 Joana J
"OK, the three-year old is most times always at home and just with dad and I don't know what what they always do. Play games, sleep, eat.",childcare,0.9,No Tag Group,P5 Joana J
"Well, in a way I feel like because they have older siblings, 10 year old and 14, they tend to be a bit independent. Or even if they are not so independent, they tend to go to both of them (older siblings) for and the elders being a female, they tend to go too high a lot, so don't necessarily come to me. So I feel like that kind of builds up their independence. So I would say they're a tad bit independence in in some certain things, but I really don't know the context.",kids independence (overall),0.9,No Tag Group,P5 Joana J
"There's a, there's a little, it's not, is it? It's not a smartphone at home, but just for like emergencies so everyone can has access to it.",who has access,0.8,Subscriptions,P5 Joana J
But the person with the smartphone is my stepdaughter.,who has access,0.9,Subscriptions,P5 Joana J
"I see her online, she communicates with friends and take pictures, post on social media, she plays games, listens to music, watches Netflix and I think those are the stuff that just general teen stuff.",what they use for,0.9500000000000001,Kids phones,P5 Joana J
"OK, she got it when she turned 13.",when they got it,0.9,Kids phones,P5 Joana J
"There is a time you don't use it immediately, you wake up, you don't use it as the first thing in the morning and you don't use it past it's 8:00 PM at night. You also don't use it when you have some chores to do or you have homework or or family activities that you're supposed to be engaged in. So if we see that you do every other thing, fine, you could have a little extension on one of those things.",rules,0.9,Food delivery family,P5 Joana J
"And also it's, it's actually, it's also monitored. I think her dad puts in, I don't really know the name of the app, but it's, it's quite monitored. So she doesn't get to see things that are not age appropriate.",monitoring,0.9500000000000001,Kids driving,P5 Joana J
"So in terms of food, I I cook a lot during the weekends. I tend to like cook because most of the weekends I'm home, so I tend to cook meals that would I say up to like",when we cook,0.9,Cooking,P5 Joana J
"I grew up I'm, I'm African. Oh, sorry. So I grew up like having to eat or making meals and then removing it from the refrigerator. So like soups, stews and stuff like that. So I make them in pots and then refrigerate it.",culture,0.8,Family makeup,P5 Joana J
"So during the week for school, for break, for school, they they get to like go to school with that. But during the week that's on weekends.",meal planning,0.7000000000000001,Food for family,P5 Joana J
"So, but most times in the evenings, I just in some days for like a family, like the whole family on like I think it's Wednesdays, we get to order out. So I, I try to make it that way. We tend to order out on Wednesdays.",when family orders/ how often,0.9,No Tag Group,P5 Joana J
"But for me personally, and I think my husband too, he orders out too. He orders out too often and me too at work. I, I think if I don't eat in the raw cafeteria, I tend to order out as well.",when family orders/ how often,0.8,No Tag Group,P5 Joana J
"But I tried to like kind of mix it to be healthy and homemade food, especially for the kids. I don't order too much for them.",feelings about kids eating food delivery,0.7000000000000001,Kids ordering independent,P5 Joana J
"OK, because since I make food on the weekends, so it's always like we would have something different on Saturday or we'll have something different on Saturday. We'll have something different Sunday. And then for the week for going to school, you definitely have something. So by the time it's like Tuesday, all the meals I have made, we've kind of eaten through all of them.",meal planning,0.9,Food for family,P5 Joana J
"So we kind of like to make Wednesday like a, like a family kind of night. So we get to like order whatever anyone chooses to eat. So it's just like the middle of the week and by then the food that I made during the weekend is already being exhausted.",when family orders/ how often,0.8,No Tag Group,P5 Joana J
"Yeah, So Thursdays and Fridays we still eat from, from, from the food we have. Like if I do Stew, like tomato Stew, for example, we could eat starts with rice, have it with macaroni, have it with bread, have it with. So I just kind of like switch around what it would be just so it would be different maybe with chicken, with beef or with eggs. So it's just small less that way. Just switch everything up.",what we cook,0.9,Cooking,P5 Joana J
"OK, they do it. They do have school lunch but I always make sure they take something too from home just have have it just in case, OK?",lunch,0.9,Food for family,P5 Joana J
I tried to make sure that they eat breakfast at home,breakfast,0.9,Food for family,P5 Joana J
"they also take lunch, especially for for the younger ones. But the older ones, the 10 year old and 14 year old, they they eat lunches in school, but they still have lunch is either if they're not taking it to school, they would come back and eat it while still at work",lunch,0.9500000000000001,Food for family,P5 Joana J
for dinner. Maybe I could just whip up something.,dinner,0.8,Food for family,P5 Joana J
"the younger ones. But the older ones, the 10 year old and 14 year old",kids,0.9,Family makeup,P5 Joana J
"I would say maybe just prepping the meals because most food I cook requires a lot of ingredients and ingredients prepping. So my older kids do help, even the younger ones do. They do help maybe to chop up some onions or tomatoes or stuff like that. So they do help out do it.",who cooks,0.9,Cooking,P5 Joana J
Then my husband usually helps in purchasing them.,who shops,0.9500000000000001,Grocery shopping,P5 Joana J
